No.,Roca,Localidad,Corte,Lámina delgada,País,Foto
1,"Granito potásico","Dartmoor, Devon.",Sí,,Inglaterra,granito_potasico.jpg
2,Granito adamelita,"Shap, Westmoreland.",,,Inglaterra,Sin muestra
3,Granito adamelita,"Rubislaw, Aberdeenshire.",Sí,,Escocia,granito_adamelita.jpg
4,Granodiorita,N.Leicestershire.,No,No,Inglaterra,granodiorita.jpg
5,Granodiorita,Moor of Raanoch.,Sí,,Escocia,granodiorita2.jpg
6,Pegmatita,Cornwall.,Sí,,Inglaterra,pegmatita.jpg
7,Aplita,"Meldon, Devon.",No,No,Inglaterra,aplita.jpg
8,Greisen,"Carraco Fell, Cumberland.",No,No,Inglaterra,greisen.jpg
9,Granito gráfico,Kragero.,Sí,,Noruega,granito_grafico.jpg
10,Luxullianita,"Luxulyan,Cornwall.",No,No,Inglaterra,luxullianita.jpg
11,Schorl Rock “Roca de chorlo”","Roche, Cornwall.",No,No,Inglaterra,schorl_rock.jpg
12,"Pneumatolyzed granite “Granito neumatolizado”",Cornwall.,No,No,Inglaterra,pneumatolyzed_granite.jpg
13,China clay stone,"St. Austell, Cornwall.",No,No,Inglaterra,china_clay_stone.jpg
14,Granófiro,"Nanhorun, N. Wales.",No,No,Gales,granofiro.jpg
15,Microgranito de riebeckita,Ailsa Crag.,Sí,,Sur de Escocia,microgranito_de_riebeckita.jpg
16,"Soda rhyolite, riolita de sodio",N. Wales,Sí,,Norte de Gales,soda_rhyolite.jpg
17,Riolita potásica,Snowdon.,Sí,,Norte de Gales,riolita_potasica.jpg
18,"Riodacita, toscanita",Toscana,No,No,Italia,riodacita_toscanita.jpg
19,Dacita,"Grimley, N. Leicestershire",Sí,,,dacita.jpg
20,"Riolita esferulítica, Obsidiana",Utah,No,No,USA,riolita_esferulitica.jpg
21,"Pitchstone “Piedra pez”,Isla de Eigg,No,No,Escocia,pitchstone_piedra_pez.jpg
22,Pitchstone porfirítica,Ardnamurchan,No,No,Oeste de Escocia,pitchstone_porfirítica.jpg
23,Nordmarquita,Sutherlandshire,No,No,Escocia,nordmarquita.jpg
24,"Larvikita, laurvigita",Larvik,No,No,Noruega,larvikita_laurvigita.jpg
25,Foyaita,Monchique,No,No,Portugal,foyaita.jpg
26,Sienita,North Cape,,,Noruega,Sin muestra
27,Sienita nefelínica,"Borolan, Sutherlandshire",,,Escocia,Sin muestra
28,Micro-sienita potásica porfídica,"Canisp, Sutherlandshire",No,No,Escocia,micro_sienita.jpg
29,Traquita de sanidino,Haddington,,,Escocia,Sin muestra
30,Traquita de plagioclasa,Haddington,No,No,Escocia,traquita_de_plagioclasa.jpg
31,Traquita,Eifel,No,No,Alemania,traquita.jpg
32,Ortotraquita,Haddington,No,No,Escocia,ortotraquita.jpg
33,Espilita queratófido,N. Wales,,,Gales,Sin muestra
34,Fonolita nefelínica nosean,Rieden,,,Alemania,Sin muestra
35,"Fonolita Traquita","Traprain Law, Haddington",No,No,Escocia,fonolita_traquita.jpg
36,"Leucita Fonolita",N. Roma,No,No,Italia,leucita_fonolita.jpg
37,"Leucitophyre “Leucitofiro, leuctita”","Laacher See, Rieden.",No,No,Alemania,leucitophyre_leucitofiro.jpg
38,Tonalita,Tonale,No,No,Italia,tonalita.jpg
39,Tonalita,Dalbeattie,No,No,Escocia,tonalita2.jpg
40,Tonalita,Ardbanurchan,Sí,,Escocia,tonalita3.jpg
41,Appanite,"Malvern, Westershire.",No,No,Inglaterra,appanite.jpg
42,"Markfieldite, Markfieldita","Markfield, N. Leicestershire",No,No,Inglaterra,markfieldite_markfieldita.jpg
43,Microdiorita gráfica,Penmaenmawr,Sí,,Norte de Gales,microdiorita_grafica.jpg
